href,salary,position,city,work_year,company
/job_detail/3886e5cdd30be1b63nR72Ny-EFM~.html,20-35K·14薪,资深UI动效 (MJ000213),上海,5-10年,紫龙游戏
/job_detail/5b497aca0c8903d91nV83d26ElRV.html,20-40K·14薪,图形渲染工程师 (MJ000174),上海,5-10年,紫龙游戏
/job_detail/68f834b0e10a51a41nF73dq4E1JR.html,22-40K,资深3D地编（手绘+PBR） (MJ000197),上海,5-10年,紫龙游戏
/job_detail/77e775f2bd45f50f33J-2d28EVc~.html,25-35K·14薪,资深角色原画（日系二次元） (MJ000194),上海,5-10年,紫龙游戏
/job_detail/ebc64b073b7e7bb70Hx93N27GVs~.html,18-35K·16薪,U3D客户端 (MJ000019),上海,经验不限,紫龙游戏
/job_detail/538adde60cda167c1nF63Ny6F1NW.html,25-50K·14薪,高级/资深3D地编（写实/日系）,上海,5-10年,紫龙游戏
/job_detail/886fcdd20510ec8e1nZ639W0EFVY.html,20-35K·14薪,战斗策划（战棋） (MJ000320),上海,1-3年,紫龙游戏
/job_detail/a155f8090cdbcce41nB92tu-E1BV.html,25-50K·16薪,深度学习工程师,上海,3-5年,紫龙游戏
/job_detail/d14be275740db10633N_3tu7FFE~.html,20-35K·14薪,资深角色原画（日系二次元） (MJ000194),上海,5-10年,紫龙游戏
/job_detail/b785fb728617e6201nZ42961E1pX.html,15-30K·14薪,游戏特效师（高级/资深）,上海,5-10年,紫龙游戏
/job_detail/3f3280b56c6bca031nVy3dW1F1dX.html,20-30K·14薪,3D场景美术,上海,5-10年,紫龙游戏
/job_detail/42eeff519745029b1nF409y0FFtQ.html,20-30K·14薪,3D动画（国风武侠） (MJ000066),上海,3-5年,紫龙游戏
/job_detail/07142df72138f3681nZ42961F1RZ.html,15-25K·14薪,招聘专家（招聘经理）,上海,5-10年,紫龙游戏
/job_detail/f4ac0ec14cb4fc361nF93Ni7E1NT.html,20-40K·14薪,资深关卡策划,上海,3-5年,紫龙游戏
/job_detail/ab88125ac00120fe0HJ63dW0F1s~.html,20-40K·14薪,高级特效设计师（二次元） (MJ000112),上海,5-10年,紫龙游戏
/job_detail/6e5f76b1b0a7d3c41nF73ti7GVBU.html,20-35K·14薪,动画设计师（2D/3D） (MJ000363),上海,经验不限,紫龙游戏
/job_detail/3de3039c5686d2b11nZ72NS8EFBU.html,15-30K·14薪,游戏服务器开发 (MJ000323),上海,经验不限,紫龙游戏
/job_detail/396d785eedcf61231nV83d25EVVT.html,20-30K·14薪,服务端开发工程师 (MJ000282),上海,3-5年,紫龙游戏
/job_detail/7acb4790334f0de71nZ52tq5F1pT.html,25-35K·14薪,资深关卡策划 (MJ000253),上海,5-10年,紫龙游戏
/job_detail/67a6afe9cba5475c1nR63tm9GFRQ.html,8-12K,游戏测试专员 (MJ000009),上海,1-3年,紫龙游戏
/job_detail/eab8e1c25c6c4c531nF90tq5EFNR.html,20-35K·14薪,资深3D地编（写实）,上海,3-5年,紫龙游戏
/job_detail/70f67b18f34aab851nRy3925GVJT.html,50-80K·16薪,资深图形渲染工程师,上海,5-10年,紫龙游戏
/job_detail/368a0ea9e14c524e1nR-0tm5EVdY.html,20-40K·14薪,技术美术TA（工具） (MJ000175),上海,经验不限,紫龙游戏
/job_detail/386d95b73a6dbcc41nF_2di8FFBX.html,13-26K·14薪,3D场景物件（手绘+PBR）,上海,经验不限,紫龙游戏
/job_detail/7b1e2e85fdcc83da1nF93N67E1tZ.html,25-50K·14薪,资深游戏服务器开发,上海,3-5年,紫龙游戏
/job_detail/944e23c75c7820321nZ639S_EFNR.html,30-60K·16薪,图形渲染工程师,上海,3-5年,紫龙游戏
/job_detail/08ba4429f3dc13bd1nF82du9E1ZU.html,15-30K·14薪,高级/资深关卡策划（JRPG）,上海,3-5年,紫龙游戏
/job_detail/d1a9f8995e7ae5f21nd63NW8ElBY.html,15-30K·14薪,游戏UI设计,上海,经验不限,紫龙游戏
/job_detail/bd1f5ebae7a014851nF63N-6EVFQ.html,15-30K·14薪,系统策划（战棋） (MJ000190),上海,经验不限,紫龙游戏
/job_detail/6db66b23576a8ca91nV83t--EVZV.html,18-30K·14薪,招聘经理 (MJ000033),上海,5-10年,紫龙游戏
/job_detail/38ba352c119950df1nF53N6_EFdY.html,15-25K·14薪,角色原画（国风/日系/欧美） (MJ000263),上海,3-5年,紫龙游戏
/job_detail/0a0cf313db74b1581nF93Nq4GVFV.html,25-35K·14薪,游戏客户端开发工程师 (MJ000019),上海,经验不限,紫龙游戏
/job_detail/cb1e5dae4dddcf251nF73ti4FltT.html,15-25K·14薪,场景原画设计师 (MJ000330),上海,经验不限,紫龙游戏
/job_detail/92b2572c7972494f1nF93Nq6FFNZ.html,20-40K·14薪,资深3D地编（写实） (MJ000090),上海,经验不限,紫龙游戏
/job_detail/e8444839dea9a31d1nZ42961EFtW.html,15-30K·14薪,动画师（中级/高级/组长）,上海,5-10年,紫龙游戏
/job_detail/ac41d2d76ec7e6641nF829W8GFVR.html,15-25K·14薪,高级音频策划 (MJ000080),上海,经验不限,紫龙游戏
/job_detail/8239506386b82c831nF63d66E1NU.html,13-25K·14薪,系统策划（战棋）,上海,1-3年,紫龙游戏
/job_detail/da5c4fbc1e0418d53nR73928F1A~.html,22-35K·14薪,3D动画 (MJ000212),上海,经验不限,紫龙游戏
/job_detail/3c3e1bbee0601d8b1nR-2dW9FFBW.html,20-35K·14薪,U3D客户端,上海,3-5年,紫龙游戏
/job_detail/b6eea9f6109a409733J-2dy7EFI~.html,15-25K·14薪,高级3D场景物件（手绘+PBR） (MJ000198),上海,3-5年,紫龙游戏
/job_detail/27c838adff2d90c00XB82N69F1c~.html,20-35K·14薪,U3D客户端,上海,3-5年,紫龙游戏
/job_detail/16f4890ea26ffcb71nF_39u8GVZS.html,20-35K·14薪,3D动画,上海,3-5年,紫龙游戏
/job_detail/bfa508014efcb35f0X1_3ty-FFA~.html,20-30K·14薪,资深灯光设计师 (MJ000138),上海,5-10年,紫龙游戏
/job_detail/deeeb6ac6b15bad31nZ92Nu6GFFX.html,20-30K·14薪,资深关卡策划 (日式RPG),上海,5-10年,紫龙游戏
/job_detail/3f658d9bfe95f34e0H162di_GFc~.html,25-40K·14薪,资深3D地编（日系）,上海,3-5年,紫龙游戏
/job_detail/1a65028405d0d4251nVz2921EFdU.html,15-20K·14薪,关卡策划（战棋） (MJ000016),上海,3-5年,紫龙游戏
/job_detail/5275c8c57a5f53e41nF73ti7FFZS.html,15-25K,色彩设计师 (MJ000362),上海,经验不限,紫龙游戏
/job_detail/2d247164612065880HBy29W6FVs~.html,15-25K·14薪,游戏音频策划,上海,1-3年,紫龙游戏
